CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Cluster,Cluster_Label
12508,28,2,398.27,4,2,2,422,8,Potential Loyalist,0,At Risk / Dormant
12509,286,1,176.5,1,1,1,111,3,Lost,1,Lost / Inactive
12510,144,2,982.5699999999999,2,2,4,224,8,Needs Attention,0,At Risk / Dormant
12512,245,2,138.03,1,2,1,121,4,Lost,1,Lost / Inactive
12513,114,1,612.29,2,1,3,213,6,Needs Attention,0,At Risk / Dormant
12514,269,1,1017.68,1,1,4,114,6,Lost,1,Lost / Inactive
12515,355,1,383.7,1,1,2,112,4,Lost,1,Lost / Inactive
12516,5,2,1312.06,5,2,4,524,11,Potential Loyalist,0,At Risk / Dormant
12517,30,5,2502.84,4,4,5,445,13,Champion,0,At Risk / Dormant
12518,1,5,2056.89,5,4,4,544,13,Champion,0,At Risk / Dormant
12519,154,1,340.84,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12520,38,5,2634.26,4,4,5,445,13,Champion,0,At Risk / Dormant
12521,144,1,599.68,2,1,3,213,6,Needs Attention,0,At Risk / Dormant
12522,41,2,192.72,4,2,1,421,7,Potential Loyalist,0,At Risk / Dormant
12523,10,11,1789.77,5,5,4,554,14,Champion,0,At Risk / Dormant
12524,11,8,4485.72,5,5,5,555,15,Champion,0,At Risk / Dormant
12526,55,3,1316.66,3,3,4,334,10,Loyal Customer,0,At Risk / Dormant
12527,83,3,348.71000000000004,3,3,2,332,8,Loyal Customer,0,At Risk / Dormant
12528,11,6,1933.48,5,5,4,554,14,Champion,0,At Risk / Dormant
12530,31,4,1662.28,4,4,4,444,12,Champion,0,At Risk / Dormant
12531,16,1,125.22,5,1,1,511,7,Potential Loyalist,0,At Risk / Dormant
12532,91,1,349.83000000000004,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12534,337,1,1089.18,1,1,4,114,6,Lost,1,Lost / Inactive
12535,93,2,716.35,2,2,3,223,7,Needs Attention,0,At Risk / Dormant
12536,31,3,12601.830000000002,4,3,5,435,12,Loyal Customer,0,At Risk / Dormant
12538,61,1,363.95,3,1,2,312,6,Needs Attention,0,At Risk / Dormant
12539,24,4,5568.35,4,4,5,445,13,Champion,0,At Risk / Dormant
12540,21,17,13400.24,4,5,5,455,14,Champion,2,Loyal / Regular
12541,61,3,981.18,3,3,4,334,10,Loyal Customer,0,At Risk / Dormant
12544,275,1,372.7,1,1,2,112,4,Lost,1,Lost / Inactive
12545,77,2,1000.39,3,2,4,324,9,Needs Attention,0,At Risk / Dormant
12546,48,2,1161.5,3,2,4,324,9,Needs Attention,0,At Risk / Dormant
12547,199,2,207.79999999999998,1,2,1,121,4,Lost,1,Lost / Inactive
12548,168,1,95.19999999999999,2,1,1,211,4,Needs Attention,1,Lost / Inactive
12550,81,1,964.83,3,1,4,314,8,Needs Attention,0,At Risk / Dormant
12551,359,1,168.0,1,1,1,111,3,Lost,1,Lost / Inactive
12552,41,2,437.82,4,2,2,422,8,Potential Loyalist,0,At Risk / Dormant
12553,1,10,3692.28,5,5,5,555,15,Champion,0,At Risk / Dormant
12556,34,2,603.71,4,2,3,423,9,Potential Loyalist,0,At Risk / Dormant
12557,18,5,11990.960000000001,5,4,5,545,14,Champion,0,At Risk / Dormant
12558,302,1,269.96,1,1,2,112,4,Lost,1,Lost / Inactive
12559,312,2,561.71,1,2,3,123,6,Lost,1,Lost / Inactive
12560,114,3,2134.01,2,3,5,235,10,At Risk,0,At Risk / Dormant
12561,70,1,238.85,3,1,1,311,5,Needs Attention,0,At Risk / Dormant
12562,24,7,3781.7400000000002,4,5,5,455,14,Champion,0,At Risk / Dormant
12564,263,1,456.9,1,1,2,112,4,Lost,1,Lost / Inactive
12565,290,1,145.92,1,1,1,111,3,Lost,1,Lost / Inactive
12566,88,1,351.65,3,1,2,312,6,Needs Attention,0,At Risk / Dormant
12567,24,10,9401.28,4,5,5,455,14,Champion,0,At Risk / Dormant
12569,1,32,4124.69,5,5,5,555,15,Champion,2,Loyal / Regular
12571,41,2,519.61,4,2,3,423,9,Potential Loyalist,0,At Risk / Dormant
12572,53,2,1020.42,3,2,4,324,9,Needs Attention,0,At Risk / Dormant
12573,229,1,160.54000000000002,1,1,1,111,3,Lost,1,Lost / Inactive
12574,317,1,218.45,1,1,1,111,3,Lost,1,Lost / Inactive
12576,131,5,1315.83,2,4,4,244,10,At Risk,0,At Risk / Dormant
12577,244,3,657.8,1,3,3,133,7,At Risk,1,Lost / Inactive
12578,23,2,2794.51,4,2,5,425,11,Potential Loyalist,0,At Risk / Dormant
12579,80,1,440.42,3,1,2,312,6,Needs Attention,0,At Risk / Dormant
12580,160,1,415.7,2,1,2,212,5,Needs Attention,1,Lost / Inactive
12581,41,1,197.71,4,1,1,411,6,Potential Loyalist,0,At Risk / Dormant
12582,240,2,511.36,1,2,3,123,6,Lost,1,Lost / Inactive
12583,1,15,7281.38,5,5,5,555,15,Champion,2,Loyal / Regular
12584,19,9,2338.15,5,5,5,555,15,Champion,0,At Risk / Dormant
12585,236,2,2040.1,1,2,4,124,7,Lost,1,Lost / Inactive
12586,19,1,196.94000000000003,5,1,1,511,7,Potential Loyalist,0,At Risk / Dormant
12587,302,1,144.0,1,1,1,111,3,Lost,1,Lost / Inactive
12588,41,1,214.89999999999998,4,1,1,411,6,Potential Loyalist,0,At Risk / Dormant
12589,30,2,646.68,4,2,3,423,9,Potential Loyalist,0,At Risk / Dormant
12590,6,2,9864.26,5,2,5,525,12,Potential Loyalist,0,At Risk / Dormant
12591,319,1,452.84999999999997,1,1,2,112,4,Lost,1,Lost / Inactive
12592,67,2,437.6,3,2,2,322,7,Needs Attention,0,At Risk / Dormant
12593,110,3,418.09999999999997,2,3,2,232,7,At Risk,0,At Risk / Dormant
12594,48,10,3338.2200000000003,3,5,5,355,13,Loyal Customer,0,At Risk / Dormant
12596,37,2,618.27,4,2,3,423,9,Potential Loyalist,0,At Risk / Dormant
12597,21,4,3811.22,4,4,5,445,13,Champion,0,At Risk / Dormant
12598,11,8,3023.08,5,5,5,555,15,Champion,0,At Risk / Dormant
12599,34,7,1032.58,4,5,4,454,13,Champion,0,At Risk / Dormant
12600,30,10,2599.04,4,5,5,455,14,Champion,0,At Risk / Dormant
12601,40,5,577.0600000000001,4,4,3,443,11,Loyal Customer,0,At Risk / Dormant
12602,1,1,153.12,5,1,1,511,7,Potential Loyalist,0,At Risk / Dormant
12603,23,1,739.1999999999999,4,1,3,413,8,Potential Loyalist,0,At Risk / Dormant
12604,81,2,254.18,3,2,2,322,7,Needs Attention,0,At Risk / Dormant
12607,62,1,1579.51,3,1,4,314,8,Needs Attention,0,At Risk / Dormant
12609,80,3,1126.85,3,3,4,334,10,Loyal Customer,0,At Risk / Dormant
12610,24,5,2099.54,4,4,5,445,13,Champion,0,At Risk / Dormant
12611,54,1,1193.32,3,1,4,314,8,Needs Attention,0,At Risk / Dormant
12612,76,1,704.0400000000001,3,1,3,313,7,Needs Attention,0,At Risk / Dormant
12613,59,5,3344.38,3,4,5,345,12,Loyal Customer,0,At Risk / Dormant
12614,161,1,315.6,2,1,2,212,5,Needs Attention,1,Lost / Inactive
12615,73,4,2291.19,3,4,5,345,12,Loyal Customer,0,At Risk / Dormant
12616,216,2,713.3,1,2,3,123,6,Lost,1,Lost / Inactive
12617,61,1,355.53,3,1,2,312,6,Needs Attention,0,At Risk / Dormant
12618,23,1,177.31,4,1,1,411,6,Potential Loyalist,0,At Risk / Dormant
12619,18,9,3641.24,5,5,5,555,15,Champion,0,At Risk / Dormant
12620,16,3,1339.41,5,3,4,534,12,Loyal Customer,0,At Risk / Dormant
12621,6,20,13689.67,5,5,5,555,15,Champion,2,Loyal / Regular
12622,234,1,180.1,1,1,1,111,3,Lost,1,Lost / Inactive
12623,130,1,305.1,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12624,108,2,641.13,2,2,3,223,7,Needs Attention,0,At Risk / Dormant
12625,6,2,2683.82,5,2,5,525,12,Potential Loyalist,0,At Risk / Dormant
12626,25,9,6620.48,4,5,5,455,14,Champion,0,At Risk / Dormant
12627,12,7,4478.53,5,5,5,555,15,Champion,0,At Risk / Dormant
12628,183,3,786.46,2,3,3,233,8,At Risk,1,Lost / Inactive
12630,11,2,1270.88,5,2,4,524,11,Potential Loyalist,0,At Risk / Dormant
12631,59,1,640.5,3,1,3,313,7,Needs Attention,0,At Risk / Dormant
12633,1,4,2163.98,5,4,5,545,14,Champion,0,At Risk / Dormant
12635,32,2,1689.18,4,2,4,424,10,Potential Loyalist,0,At Risk / Dormant
12637,93,8,6021.9,2,5,5,255,12,At Risk,0,At Risk / Dormant
12638,183,1,671.69,2,1,3,213,6,Needs Attention,1,Lost / Inactive
12639,240,1,486.1,1,1,2,112,4,Lost,1,Lost / Inactive
12640,25,3,1174.58,4,3,4,434,11,Loyal Customer,0,At Risk / Dormant
12641,117,1,185.9,2,1,1,211,4,Needs Attention,0,At Risk / Dormant
12642,27,3,1013.26,4,3,4,434,11,Loyal Customer,0,At Risk / Dormant
12643,40,6,3344.64,4,5,5,455,14,Champion,0,At Risk / Dormant
12644,306,1,477.91,1,1,2,112,4,Lost,1,Lost / Inactive
12645,111,4,1775.18,2,4,4,244,10,At Risk,0,At Risk / Dormant
12646,51,2,1346.97,3,2,4,324,9,Needs Attention,0,At Risk / Dormant
12647,24,12,3722.82,4,5,5,455,14,Champion,0,At Risk / Dormant
12648,126,1,318.05,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12649,36,3,623.51,4,3,3,433,10,Loyal Customer,0,At Risk / Dormant
12650,182,1,314.44,2,1,2,212,5,Needs Attention,1,Lost / Inactive
12651,101,1,114.0,2,1,1,211,4,Needs Attention,0,At Risk / Dormant
12652,10,1,919.98,5,1,3,513,9,Potential Loyalist,0,At Risk / Dormant
12653,150,2,2209.85,2,2,5,225,9,Needs Attention,0,At Risk / Dormant
12654,12,5,601.98,5,4,3,543,12,Loyal Customer,0,At Risk / Dormant
12656,19,5,4051.17,5,4,5,545,14,Champion,0,At Risk / Dormant
12657,13,4,1643.18,5,4,4,544,13,Champion,0,At Risk / Dormant
12658,20,1,686.05,4,1,3,413,8,Potential Loyalist,0,At Risk / Dormant
12659,61,1,91.68,3,1,1,311,5,Needs Attention,0,At Risk / Dormant
12660,13,1,245.1,5,1,1,511,7,Potential Loyalist,0,At Risk / Dormant
12662,24,11,3849.78,4,5,5,455,14,Champion,0,At Risk / Dormant
12664,1,9,4881.88,5,5,5,555,15,Champion,0,At Risk / Dormant
12665,326,1,63.0,1,1,1,111,3,Lost,1,Lost / Inactive
12667,1,1,620.13,5,1,3,513,9,Potential Loyalist,0,At Risk / Dormant
12668,13,4,3807.15,5,4,5,545,14,Champion,0,At Risk / Dormant
12669,4,3,2744.0299999999997,5,3,5,535,13,Loyal Customer,0,At Risk / Dormant
12670,12,5,2996.05,5,4,5,545,14,Champion,0,At Risk / Dormant
12672,331,1,225.89999999999998,1,1,1,111,3,Lost,1,Lost / Inactive
12673,243,2,610.52,1,2,3,123,6,Lost,1,Lost / Inactive
12674,93,4,1970.6,2,4,4,244,10,At Risk,0,At Risk / Dormant
12676,26,6,1331.39,4,5,4,454,13,Champion,0,At Risk / Dormant
12678,44,12,17628.46,4,5,5,455,14,Champion,2,Loyal / Regular
12679,1,4,1113.02,5,4,4,544,13,Champion,0,At Risk / Dormant
12680,32,4,862.81,4,4,3,443,11,Loyal Customer,0,At Risk / Dormant
12681,16,22,13787.54,5,5,5,555,15,Champion,2,Loyal / Regular
12682,3,31,12288.22,5,5,5,555,15,Champion,2,Loyal / Regular
12683,6,15,8476.57,5,5,5,555,15,Champion,2,Loyal / Regular
12684,26,7,2283.63,4,5,5,455,14,Champion,0,At Risk / Dormant
12685,30,6,2863.08,4,5,5,455,14,Champion,0,At Risk / Dormant
12686,639,1,89.14,1,1,1,111,3,Lost,1,Lost / Inactive
12688,115,1,4873.8099999999995,2,1,5,215,8,Needs Attention,0,At Risk / Dormant
12689,27,2,1247.61,4,2,4,424,10,Potential Loyalist,0,At Risk / Dormant
12690,207,1,389.01,1,1,2,112,4,Lost,1,Lost / Inactive
12691,1,6,1035.8,5,5,4,554,14,Champion,0,At Risk / Dormant
12693,6,4,855.91,5,4,3,543,12,Loyal Customer,0,At Risk / Dormant
12694,72,2,869.67,3,2,3,323,8,Needs Attention,0,At Risk / Dormant
12695,109,4,582.1,2,4,3,243,9,At Risk,0,At Risk / Dormant
12697,30,3,957.59,4,3,4,434,11,Loyal Customer,0,At Risk / Dormant
12700,128,4,4939.99,2,4,5,245,11,At Risk,0,At Risk / Dormant
12701,37,2,797.71,4,2,3,423,9,Potential Loyalist,0,At Risk / Dormant
12702,21,1,219.0,4,1,1,411,6,Potential Loyalist,0,At Risk / Dormant
12703,72,1,283.55,3,1,2,312,6,Needs Attention,0,At Risk / Dormant
12704,24,8,2340.84,4,5,5,455,14,Champion,0,At Risk / Dormant
12705,17,9,6868.29,5,5,5,555,15,Champion,0,At Risk / Dormant
12707,293,1,603.42,1,1,3,113,5,Lost,1,Lost / Inactive
12708,61,10,2712.91,3,5,5,355,13,Loyal Customer,0,At Risk / Dormant
12709,1,15,9736.52,5,5,5,555,15,Champion,2,Loyal / Regular
12710,203,3,1149.02,1,3,4,134,8,At Risk,1,Lost / Inactive
12712,10,13,4396.13,5,5,5,555,15,Champion,0,At Risk / Dormant
12713,90,1,848.55,2,1,3,213,6,Needs Attention,0,At Risk / Dormant
12714,11,5,4708.86,5,4,5,545,14,Champion,0,At Risk / Dormant
12715,108,1,353.86,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12716,135,2,1053.49,2,2,4,224,8,Needs Attention,0,At Risk / Dormant
12717,34,2,1030.98,4,2,4,424,10,Potential Loyalist,0,At Risk / Dormant
12718,73,1,238.25,3,1,1,311,5,Needs Attention,0,At Risk / Dormant
12719,215,2,644.95,1,2,3,123,6,Lost,1,Lost / Inactive
12720,4,25,5781.73,5,5,5,555,15,Champion,2,Loyal / Regular
12721,81,6,2656.13,3,5,5,355,13,Loyal Customer,0,At Risk / Dormant
12722,4,4,997.63,5,4,4,544,13,Champion,0,At Risk / Dormant
12723,18,5,725.07,5,4,3,543,12,Loyal Customer,0,At Risk / Dormant
12724,40,4,1031.41,4,4,4,444,12,Champion,0,At Risk / Dormant
12725,639,1,427.8,1,1,2,112,4,Lost,1,Lost / Inactive
12726,30,7,2609.1,4,5,5,455,14,Champion,0,At Risk / Dormant
12727,12,7,3980.7,5,5,5,555,15,Champion,0,At Risk / Dormant
12728,40,4,836.33,4,4,3,443,11,Loyal Customer,0,At Risk / Dormant
12729,115,1,453.01,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12731,25,12,18895.91,4,5,5,455,14,Champion,2,Loyal / Regular
12732,181,1,236.26000000000002,2,1,1,211,4,Needs Attention,1,Lost / Inactive
12733,236,1,383.95,1,1,2,112,4,Lost,1,Lost / Inactive
12734,354,1,110.39999999999999,1,1,1,111,3,Lost,1,Lost / Inactive
12735,193,2,779.5699999999999,1,2,3,123,6,Lost,1,Lost / Inactive
12736,40,1,234.0,4,1,1,411,6,Potential Loyalist,0,At Risk / Dormant
12738,666,1,155.35,1,1,1,111,3,Lost,1,Lost / Inactive
12739,80,2,1013.04,3,2,4,324,9,Needs Attention,0,At Risk / Dormant
12740,154,1,427.6,2,1,2,212,5,Needs Attention,0,At Risk / Dormant
12743,136,2,546.43,2,2,3,223,7,Needs Attention,0,At Risk / Dormant
12744,53,7,21279.29,3,5,5,355,13,Loyal Customer,2,Loyal / Regular
12747,24,11,4196.01,4,5,5,455,14,Champion,0,At Risk / Dormant
12748,5,210,33719.73,5,5,5,555,15,Champion,3,VIP / Champion
12749,24,5,4090.88,4,4,5,445,13,Champion,0,At Risk / Dormant
12750,278,1,275.88,1,1,2,112,4,Lost,1,Lost / Inactive
12752,83,1,4366.78,3,1,5,315,9,Needs Attention,0,At Risk / Dormant
12753,24,6,21429.39,4,5,5,455,14,Champion,0,At Risk / Dormant
12754,161,3,3010.74,2,3,5,235,10,At Risk,0,At Risk / Dormant
12755,252,2,3811.95,1,2,5,125,8,Lost,1,Lost / Inactive
12756,88,1,112.07999999999998,3,1,1,311,5,Needs Attention,0,At Risk / Dormant
12757,5,13,7857.1,5,5,5,555,15,Champion,2,Loyal / Regular
12758,118,2,2791.59,2,2,5,225,9,Needs Attention,0,At Risk / Dormant
12759,54,3,1531.44,3,3,4,334,10,Loyal Customer,0,At Risk / Dormant
12762,27,2,1898.52,4,2,4,424,10,Potential Loyalist,0,At Risk / Dormant
12763,140,2,494.08,2,2,3,223,7,Needs Attention,0,At Risk / Dormant
12764,318,1,1693.88,1,1,4,114,6,Lost,1,Lost / Inactive
12766,59,7,6989.63,3,5,5,355,13,Loyal Customer,0,At Risk / Dormant
12769,240,1,1143.6,1,1,4,114,6,Lost,1,Lost / Inactive
12770,212,1,1351.45,1,1,4,114,6,Lost,1,Lost / Inactive
12772,31,1,892.47,4,1,3,413,8,Potential Loyalist,0,At Risk / Dormant
12775,19,5,1386.04,5,4,4,544,13,Champion,0,At Risk / Dormant
12778,21,6,822.23,4,5,3,453,12,Loyal Customer,0,At Risk / Dormant
12779,200,8,3981.36,1,5,5,155,11,At Risk,1,Lost / Inactive
12781,154,2,826.74,2,2,3,223,7,Needs Attention,0,At Risk / Dormant
12782,151,5,2330.92,2,4,5,245,11,At Risk,0,At Risk / Dormant
